,original,matched
0,Afghanistan,Afghanistan
1,Albania,Albania
2,Algeria,Algeria
3,American Samoa,American Samoa
4,Andorra,Andorra
5,Angola,Angola
6,Antigua and Barbuda,Antigua and Barbuda
7,Argentina,Argentina
8,Armenia,Armenia
9,Aruba,Aruba
10,Australia,Australia
11,Austria,Austria
12,Azerbaijan,Azerbaijan
13,"Bahamas, The",Bahamas
14,Bahrain,Bahrain
15,Bangladesh,Bangladesh
16,Barbados,Barbados
17,Belarus,Belarus
18,Belgium,Belgium
19,Belize,Belize
20,Benin,Benin
21,Bermuda,Bermuda
22,Bhutan,Bhutan
23,Bolivia,"Bolivia, Plurinational State of"
24,Bosnia and Herzegovina,Bosnia and Herzegovina
25,Botswana,Botswana
26,Brazil,Brazil
27,British Virgin Islands,Virgin Islands (British)
28,Brunei Darussalam,Brunei Darussalam
29,Bulgaria,Bulgaria
30,Burkina Faso,Burkina Faso
31,Burundi,Burundi
32,Cabo Verde,Cabo Verde
33,Cambodia,Cambodia
34,Cameroon,Cameroon
35,Canada,Canada
36,Cayman Islands,Cayman Islands
37,Central African Republic,Central African Republic
38,Chad,Chad
39,Channel Islands,Cocos (Keeling) Islands
40,Chile,Chile
41,China,China
42,Colombia,Colombia
43,Comoros,Comoros
44,"Congo, Dem. Rep.",Congo
45,"Congo, Rep.",Congo
46,Costa Rica,Costa Rica
47,Cote d'Ivoire,Côte d'Ivoire
48,Croatia,Croatia
49,Cuba,Cuba
50,Curacao,Curaçao
51,Cyprus,Cyprus
52,Czechia,Czechia
53,Denmark,Denmark
54,Djibouti,Djibouti
55,Dominica,Dominica
56,Dominican Republic,Dominican Republic
57,Ecuador,Ecuador
58,"Egypt, Arab Rep.",Egypt
59,El Salvador,El Salvador
60,Equatorial Guinea,Equatorial Guinea
61,Eritrea,Eritrea
62,Estonia,Estonia
63,Eswatini,Eswatini
64,Ethiopia,Ethiopia
65,Faroe Islands,Faroe Islands
66,Fiji,Fiji
67,Finland,Finland
68,France,France
69,French Polynesia,French Polynesia
70,Gabon,Gabon
71,"Gambia, The",Gambia
72,Georgia,Georgia
73,Germany,Germany
74,Ghana,Ghana
75,Gibraltar,Gibraltar
76,Greece,Greece
77,Greenland,Greenland
78,Grenada,Grenada
79,Guam,Guam
80,Guatemala,Guatemala
81,Guinea,Guinea
82,Guinea-Bissau,Guinea-Bissau
83,Guyana,Guyana
84,Haiti,Haiti
85,Honduras,Honduras
86,"Hong Kong SAR, China",China
87,Hungary,Hungary
88,Iceland,Iceland
89,India,India
90,Indonesia,Indonesia
91,"Iran, Islamic Rep.","Iran, Islamic Republic of"
92,Iraq,Iraq
93,Ireland,Ireland
94,Isle of Man,Isle of Man
95,Israel,Israel
96,Italy,Italy
97,Jamaica,Jamaica
98,Japan,Japan
99,Jordan,Jordan
100,Kazakhstan,Kazakhstan
101,Kenya,Kenya
102,Kiribati,Kiribati
103,"Korea, Dem. People's Rep.","Korea, Democratic People's Republic of"
104,"Korea, Rep.","Korea, Republic of"
105,Kosovo,Solomon Islands
106,Kuwait,Kuwait
107,Kyrgyz Republic,Central African Republic
108,Lao PDR,Lao People's Democratic Republic
109,Latvia,Latvia
110,Lebanon,Lebanon
111,Lesotho,Lesotho
112,Liberia,Liberia
113,Libya,Libya
114,Liechtenstein,Liechtenstein
115,Lithuania,Lithuania
116,Luxembourg,Luxembourg
117,"Macao SAR, China",China
118,Madagascar,Madagascar
119,Malawi,Malawi
120,Malaysia,Malaysia
121,Maldives,Maldives
122,Mali,Mali
123,Malta,Malta
124,Marshall Islands,Marshall Islands
125,Mauritania,Mauritania
126,Mauritius,Mauritius
127,Mexico,Mexico
128,"Micronesia, Fed. Sts.","Micronesia, Federated States of"
129,Moldova,"Moldova, Republic of"
130,Monaco,Monaco
131,Mongolia,Mongolia
132,Montenegro,Montenegro
133,Morocco,Morocco
134,Mozambique,Mozambique
135,Myanmar,Myanmar
136,Namibia,Namibia
137,Nauru,Nauru
138,Nepal,Nepal
139,Netherlands,"Netherlands, Kingdom of the"
140,New Caledonia,New Caledonia
141,New Zealand,New Zealand
142,Nicaragua,Nicaragua
143,Niger,Niger
144,Nigeria,Nigeria
145,North Macedonia,North Macedonia
146,Northern Mariana Islands,Northern Mariana Islands
147,Norway,Norway
148,Oman,Oman
149,Pakistan,Pakistan
150,Palau,Palau
151,Panama,Panama
152,Papua New Guinea,Papua New Guinea
153,Paraguay,Paraguay
154,Peru,Peru
155,Philippines,Philippines
156,Poland,Poland
157,Portugal,Portugal
158,Puerto Rico (US),Puerto Rico
159,Qatar,Qatar
160,Romania,Romania
161,Russian Federation,Russian Federation
162,Rwanda,Rwanda
163,Samoa,Samoa
164,San Marino,San Marino
165,Sao Tome and Principe,Sao Tome and Principe
166,Saudi Arabia,Saudi Arabia
167,Senegal,Senegal
168,Serbia,Serbia
169,Seychelles,Seychelles
170,Sierra Leone,Sierra Leone
171,Singapore,Singapore
172,Sint Maarten (Dutch part),Sint Maarten (Dutch part)
173,Slovak Republic,Central African Republic
174,Slovenia,Slovenia
175,Solomon Islands,Solomon Islands
176,"Somalia, Fed. Rep.",Mali
177,South Africa,South Africa
178,South Sudan,South Sudan
179,Spain,Spain
180,Sri Lanka,Sri Lanka
181,St. Kitts and Nevis,Saint Kitts and Nevis
182,St. Lucia,Saint Lucia
183,St. Martin (French part),Saint Martin (French part)
184,St. Vincent and the Grenadines,Saint Vincent and the Grenadines
185,Sudan,Sudan
186,Suriname,Suriname
187,Sweden,Sweden
188,Switzerland,Switzerland
189,Syrian Arab Republic,Syrian Arab Republic
190,Tajikistan,Tajikistan
191,Tanzania,"Tanzania, United Republic of"
192,Thailand,Thailand
193,Timor-Leste,Timor-Leste
194,Togo,Togo
195,Tonga,Tonga
196,Trinidad and Tobago,Trinidad and Tobago
197,Tunisia,Tunisia
198,Turkiye,Türkiye
199,Turkmenistan,Turkmenistan
200,Turks and Caicos Islands,Turks and Caicos Islands
201,Tuvalu,Tuvalu
202,Uganda,Uganda
203,Ukraine,Ukraine
204,United Arab Emirates,United Arab Emirates
205,United Kingdom,United Kingdom of Great Britain and Northern Ireland
206,United States,United States of America
207,Uruguay,Uruguay
208,Uzbekistan,Uzbekistan
209,Vanuatu,Vanuatu
210,"Venezuela, RB","Venezuela, Bolivarian Republic of"
211,Viet Nam,Viet Nam
212,Virgin Islands (U.S.),Virgin Islands (U.S.)
213,West Bank and Gaza,"Bonaire, Sint Eustatius and Saba"
214,"Yemen, Rep.",Yemen
215,Zambia,Zambia
216,Zimbabwe,Zimbabwe
